id,loss,baseline
sample_1_1,0.5952462,0.010738026350736618
sample_1_1,0.4058481,0.007260339334607124
sample_1_1,0.56475365,0.010106255300343037
sample_1_1,0.60095656,0.01073259674012661
sample_1_1,0.487886,0.008849257603287697
sample_1_1,0.533301,0.009531646966934204
sample_2_2,0.52076906,0.009531646966934204
sample_1_1,0.56934065,0.010173453018069267
sample_1_1,0.32785383,0.005987938493490219
sample_1_1,0.51730585,0.009149108082056046
sample_1_1,0.45956612,0.008386475965380669
sample_2_2,0.098616935,0.01017429307103157
sample_3_3,0.1028339,0.012020519003272057
sample_4_4,0.0965028,0.013804923743009567
sample_5_5,0.0030276515,0.013855990022420883
sample_6_6,0.027800802,0.014331537298858166
sample_7_7,-0.116225414,0.012235165573656559
sample_8_8,0.019907657,0.012590439058840275
sample_9_9,0.08123916,0.014145727269351482
sample_10_10,-0.10928805,0.012243414297699928
sample_11_11,-0.28513017,0.007527620997279882
sample_12_12,0.2535134,0.012055357918143272
sample_13_13,0.09904219,0.014011956751346588
sample_14_14,-0.061418153,0.013169579207897186
sample_15_15,-0.051644295,0.012836538255214691
sample_16_16,0.06143763,0.013812216930091381
sample_17_17,-0.028598258,0.013559309765696526
sample_18_18,0.020003863,0.013794586062431335
sample_19_19,-0.12601605,0.011835122480988503
sample_20_20,-0.13654438,0.010219119489192963
sample_1_1,0.591985,0.010998116806149483
sample_2_2,-0.039640956,0.011531040072441101
sample_3_3,0.22925563,0.01375029981136322
sample_4_4,-0.042597733,0.013345506973564625
sample_5_5,-0.48937392,0.009058794006705284
sample_6_6,0.13688786,0.011863543651998043
sample_7_7,-0.021793146,0.011618167161941528
sample_8_8,0.013691433,0.012381487525999546
sample_9_9,-0.55766165,0.008688275702297688
sample_10_10,0.45131955,0.011950486339628696
sample_11_11,-0.5285777,0.008580525405704975
sample_12_12,0.22202928,0.011622076854109764
sample_13_13,0.02136572,0.012437166646122932
sample_14_14,-0.044194177,0.012586237862706184
sample_15_15,-0.23755546,0.01103620883077383
sample_16_16,-0.4906131,0.008481469936668873
sample_17_17,0.32078618,0.010506844148039818
sample_18_18,0.049730718,0.01101318746805191
sample_19_19,0.41154617,0.013620836660265923
sample_20_20,-0.14292264,0.01273853238672018
sample_1_1,0.67316824,0.008781511336565018
sample_2_2,0.5297066,0.0124365771189332
sample_3_3,0.038831074,0.013282597064971924
sample_4_4,0.029803542,0.01399092935025692
sample_5_5,-0.14421897,0.013164322823286057
sample_6_6,-0.009283707,0.012902969494462013
sample_7_7,-0.12959474,0.012824587523937225
sample_8_8,0.078151986,0.014204263687133789
sample_9_9,-0.2045104,0.013217655941843987
sample_10_10,0.11944938,0.014370277523994446
sample_11_11,-0.99948406,0.008114038035273552
sample_12_12,0.44376168,0.011307131499052048
sample_13_13,-0.18331888,0.010141823440790176
sample_14_14,0.16577706,0.012012401595711708
sample_15_15,-0.19301252,0.011784611269831657
sample_16_16,0.05808884,0.012095261365175247
sample_17_17,-0.12322919,0.011539805680513382
sample_18_18,-0.23560524,0.01019999198615551
sample_19_19,0.19582735,0.012081645429134369
sample_20_20,0.094445854,0.01279882900416851
sample_1_1,15.765075,0.28029876947402954
sample_1_1,15.058338,0.2739289402961731
sample_1_1,15.655018,0.28338897228240967
sample_2_2,-0.9314873,0.2810015082359314
sample_3_3,-0.84945,0.27783405780792236
sample_4_4,-3.317365,0.28593480587005615
sample_5_5,-1.8850346,0.2857987880706787
sample_6_6,-4.481675,0.27790701389312744
sample_7_7,-4.379968,0.2805013060569763
sample_8_8,-8.614445,0.27892857789993286
sample_9_9,-7.3470445,0.2835514545440674
sample_10_10,-6.101045,0.2866172194480896
sample_11_11,-2.7687232,0.2764332890510559
sample_12_12,-5.270043,0.2837395668029785
sample_13_13,-5.282164,0.28601956367492676
sample_14_14,-6.570168,0.2870623469352722
sample_15_15,-1.7445248,0.2858709692955017
sample_16_16,-6.668237,0.27894771099090576
sample_17_17,-16.316399,0.2744109630584717
